"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Data da amostragem";"Código da amostra";"Região";"Amostra foi proveniente de qual atividade";"Informações gerais sobre desembarque / despesca > Nome da unidade produtiva";"Informações gerais sobre desembarque / despesca > Porto de desembarque / despesca";"Informações gerais sobre desembarque / despesca > Data do desembarque / despesca";"Informações gerais sobre desembarque / despesca > Hora do desembarque / despesca";"Informações gerais sobre a arte de pesca > Arte de pesca";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Armadilhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Arrastos";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Emalhes";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Espinheis";"Informações gerais sobre a arte de pesca > Arte de pesca níve II - Linhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Outros";"Informações sobre a faína de pesca > Período dedicado à faína de pesca";"Informações sobre a faína de pesca > Tempo médio de duração da faína de pesca";"Informações sobre as capturas > Captura total da viagem (kg)";"Informações sobre as capturas > Captura total da espécie (kg)";"Local da coleta (Latitude)";"Local da coleta (Longitude)";"Local de edição (Latitude)";"Local de edição (Longitude)";"Criado por";"Atualizado por";"Criado em";"Criado em (horário do dispositivo)";"Atualizado em"
"1.1223713";"17/09/2024";"#068";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"12/02/2025 17:23";"12/02/2025 17:23";"18/03/2025 13:40"
"1.1223699";"16/09/2024";"#067";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"12/02/2025 16:48";"12/02/2025 16:48";"11/03/2025 10:08"
"1.1223672";"10/09/2024";"#066";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"12/02/2025 16:12";"12/02/2025 16:12";"11/03/2025 10:07"
"1.1223668";"15/09/2024";"#065";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"12/02/2025 16:05";"12/02/2025 16:05";"18/03/2025 13:43"
"1.1223638";"14/09/2024";"#064";"Região Centro-Sul";"Pesca artesanal";"Camacho";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"12/02/2025 15:41";"12/02/2025 15:41";"11/03/2025 10:06"
"1.1223307";"14/09/2024";"#063";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"12/02/2025 11:01";"12/02/2025 11:01";"11/03/2025 10:04"
"1.1223244";"10/09/2024";"#061";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"12/02/2025 10:30";"12/02/2025 10:30";"11/03/2025 10:04"
"1.1223155";"09/09/2024";"#059";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"12/02/2025 09:45";"12/02/2025 09:45";"11/03/2025 09:59"
"1.1223085";"09/09/2024";"#060";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"12/02/2025 09:02";"12/02/2025 09:02";"11/03/2025 09:58"
"1.1222708";"06/09/2024";"#058";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,918912";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"11/02/2025 16:38";"11/02/2025 16:38";"11/03/2025 09:56"
"1.1222550";"06/09/2024";"#057";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,918912";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"11/02/2025 14:37";"11/02/2025 14:37";"10/03/2025 15:18"
"1.1222526";"06/09/2024";"#056";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,918912";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"11/02/2025 14:24";"11/02/2025 14:24";"10/03/2025 15:18"
"1.1222512";"06/09/2024";"#055";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,918912";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"11/02/2025 14:10";"11/02/2025 14:10";"10/03/2025 15:17"
"1.1222423";"05/09/2024";"#054";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,918912";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"11/02/2025 11:55";"11/02/2025 11:55";"10/03/2025 15:16"
"1.1220631";"04/09/2024";"#053";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"07/02/2025 16:41";"07/02/2025 16:41";"10/03/2025 15:15"
"1.1220615";"03/09/2024";"#052";"Região Centro-Sul";"Pesca artesanal";"Perrexil";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"07/02/2025 16:19";"07/02/2025 16:19";"10/03/2025 15:10"
"1.1220606";"03/09/2024";"#051";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"07/02/2025 16:10";"07/02/2025 16:10";"10/03/2025 15:10"
"1.1220590";"03/09/2024";"#050";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"07/02/2025 15:57";"07/02/2025 15:57";"10/03/2025 15:04"
"1.1220474";"31/08/2024";"#049";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"07/02/2025 14:42";"07/02/2025 14:42";"21/03/2025 15:09"
"1.1220448";"30/08/2024";"#048";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"07/02/2025 14:20";"07/02/2025 14:20";"10/03/2025 14:57"
"1.1219780";"25/08/2024";"#047";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"06/02/2025 18:00";"06/02/2025 18:00";"10/03/2025 14:55"
"1.1219718";"23/08/2024";"#046";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"06/02/2025 17:25";"06/02/2025 17:25";"10/03/2025 14:50"
"1.1219211";"02/08/2024";"#045";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"06/02/2025 10:29";"06/02/2025 10:29";"10/03/2025 14:31"
"1.1218792";"15/08/2024";"#043";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-26,9156352";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"05/02/2025 16:51";"05/02/2025 16:51";"10/03/2025 14:28"
"1.1218779";"11/08/2024";"#042";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"05/02/2025 16:34";"05/02/2025 16:34";"10/03/2025 11:46"
"1.1217768";"10/08/2024";"#041";"Região Central";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"04/02/2025 17:25";"04/02/2025 17:25";"10/03/2025 11:43"
"1.1217721";"06/08/2024";"#040";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Arrasto";"";"Berimbau";"";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"04/02/2025 16:27";"04/02/2025 16:27";"10/03/2025 11:40"
"1.1217706";"15/08/2024";"#044";"Região Central";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"04/02/2025 16:19";"04/02/2025 16:19";"10/03/2025 11:39"
"1.1216808";"05/08/2024";"#039";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"03/02/2025 17:28";"03/02/2025 17:28";"10/03/2025 11:37"
"1.1216793";"01/08/2024";"#034";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9156352";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"03/02/2025 17:09";"03/02/2025 17:09";"10/03/2025 11:31"
"1.1164684";"20/07/2024";"#029";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"08/11/2024 13:06";"08/11/2024 13:06";"10/03/2025 11:17"
"1.1164677";"05/08/2024";"#038";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Outros";"";"";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"08/11/2024 13:01";"08/11/2024 13:01";"10/03/2025 11:17"
"1.1164659";"05/08/2024";"#037";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Outros";"";"";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"08/11/2024 12:39";"08/11/2024 12:39";"21/03/2025 13:04"
"1.1164651";"03/08/2024";"#035";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"08/11/2024 12:33";"08/11/2024 12:33";"10/03/2025 11:13"
"1.1164597";"20/07/2024";"#030";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"08/11/2024 11:47";"08/11/2024 11:47";"10/03/2025 11:12"
"1.1162419";"24/07/2024";"#032";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"06/11/2024 17:02";"06/11/2024 17:02";"10/03/2025 11:10"
"1.1162410";"19/07/2024";"#028";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"06/11/2024 16:56";"06/11/2024 16:56";"10/03/2025 11:10"
"1.1162394";"14/07/2024";"#027";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"06/11/2024 16:49";"06/11/2024 16:49";"10/03/2025 11:10"
"1.1161134";"01/07/2024";"#026";"Região Central";"Pesca artesanal";"";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"05/11/2024 17:02";"05/11/2024 17:02";"10/03/2025 11:09"
"1.1147445";"04/07/2024";"#025";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Outros";"";"";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"21/10/2024 16:46";"21/10/2024 16:46";"10/03/2025 11:05"
"1.1147391";"02/07/2024";"#021";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"21/10/2024 15:48";"21/10/2024 15:48";"10/03/2025 11:05"
"1.1141791";"03/07/2024";"#022";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"11/10/2024 15:28";"11/10/2024 15:28";"10/03/2025 11:03"
"1.1141751";"03/07/2024";"#024";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Outros";"";"";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"11/10/2024 14:47";"11/10/2024 14:47";"10/03/2025 10:55"
"1.1141730";"14/06/2024";"#016";"Região Central";"Pesca artesanal";"";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Tainá Guimarães Julio";"11/10/2024 14:10";"11/10/2024 14:10";"18/03/2025 13:33"
"1.1141700";"23/06/2024";"#017";"Região Central";"Pesca artesanal";"";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"11/10/2024 12:49";"11/10/2024 12:49";"10/03/2025 10:45"
"1.1141698";"12/06/2024";"#014";"Região Central";"Pesca artesanal";"";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"11/10/2024 12:37";"11/10/2024 12:37";"10/03/2025 10:44"
"1.1141230";"15/06/2024";"#013";"Região Central";"Pesca artesanal";"";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"10/10/2024 16:03";"10/10/2024 16:03";"10/03/2025 10:42"
"1.1141216";"14/06/2024";"#011";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"10/10/2024 15:52";"10/10/2024 15:52";"10/03/2025 10:35"
"1.1140416";"14/06/2024";"#010";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"09/10/2024 12:17";"09/10/2024 12:16";"10/03/2025 10:34"
"1.1140290";"13/06/2024";"#009";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"09/10/2024 10:52";"09/10/2024 10:52";"10/03/2025 10:32"
"1.1139907";"10/06/2024";"#008";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"08/10/2024 15:45";"08/10/2024 15:45";"10/03/2025 10:21"
"1.1139722";"07/06/2024";"#007";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"08/10/2024 12:35";"08/10/2024 12:35";"10/03/2025 10:16"
"1.1139692";"31/05/2024";"#003";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"08/10/2024 11:57";"08/10/2024 11:57";"10/03/2025 10:18"
"1.1139673";"06/06/2024";"#006";"Região Central";"Pesca artesanal";"";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"08/10/2024 11:44";"08/10/2024 11:44";"10/03/2025 10:18"
"1.1138212";"04/06/2024";"#005";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"04/10/2024 15:42";"04/10/2024 15:42";"10/03/2025 10:17"
"1.1138194";"02/06/2024";"#004";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Outros";"";"";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"04/10/2024 15:20";"04/10/2024 15:20";"10/03/2025 10:17"
"1.1138047";"30/05/2024";"#002";"Região Central";"Pesca artesanal";"";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"04/10/2024 11:44";"04/10/2024 11:44";"10/03/2025 10:17"
"1.1138022";"30/05/2024";"#001";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Tainá Guimarães Julio";"Marcos Vinicius Barros da Silva";"04/10/2024 11:17";"04/10/2024 11:17";"10/03/2025 10:17"
"24276.1";"23/08/2024";"1sb010824";"Região Norte";"Pesca artesanal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-26,917555024144";"-48,665574074921";"-26,917616645831";"-48,665480017707";"Thaiza Maria Rezende da Rocha Barreto";"Thaiza Maria Rezende da Rocha Barreto";"23/09/2024 08:34";"05/09/2024 14:58";"13/09/2024 11:54"
