"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Data da amostragem";"Código da amostra";"Região";"Amostra foi proveniente de qual atividade";"Informações gerais sobre desembarque / despesca > Nome da unidade produtiva";"Informações gerais sobre desembarque / despesca > Porto de desembarque / despesca";"Informações gerais sobre desembarque / despesca > Data do desembarque / despesca";"Informações gerais sobre desembarque / despesca > Hora do desembarque / despesca";"Informações gerais sobre a arte de pesca > Arte de pesca";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Armadilhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Arrastos";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Emalhes";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Espinheis";"Informações gerais sobre a arte de pesca > Arte de pesca níve II - Linhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Outros";"Informações sobre a faína de pesca > Período dedicado à faína de pesca";"Informações sobre a faína de pesca > Tempo médio de duração da faína de pesca";"Informações sobre as capturas > Captura total da viagem (kg)";"Informações sobre as capturas > Captura total da espécie (kg)";"Local da coleta (Latitude)";"Local da coleta (Longitude)";"Local de edição (Latitude)";"Local de edição (Longitude)";"Criado por";"Atualizado por";"Criado em";"Criado em (horário do dispositivo)";"Atualizado em"
"1.1234240";"06/02/2025";"#194";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 11:26";"27/02/2025 11:26";"13/03/2025 11:48"
"1.1234205";"12/02/2025";"#197";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 11:12";"27/02/2025 11:12";"13/03/2025 11:44"
"1.1234186";"05/02/2025";"#193";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 10:59";"27/02/2025 10:59";"13/03/2025 11:43"
"1.1234135";"31/01/2025";"#189";"Região Central";"Pesca artesanal";"Pescaria Brava";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 10:41";"27/02/2025 10:41";"13/03/2025 11:42"
"1.1234082";"01/02/2025";"#188";"Região Central";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 10:23";"27/02/2025 10:23";"13/03/2025 11:36"
"1.1234070";"07/07/2024";"#186";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 10:18";"27/02/2025 10:18";"13/03/2025 11:35"
"1.1234005";"04/02/2025";"#192";"Região Centro-Sul";"Pesca artesanal";"Perrexil";"";"";"";"Armadilha";"Aviãozinho";"";"";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"27/02/2025 09:21";"27/02/2025 09:21";"20/03/2025 15:11"
"1.1233788";"25/01/2025";"#172";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 17:53";"26/02/2025 17:53";"17/03/2025 11:58"
"1.1233764";"29/01/2025";"#177";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 17:07";"26/02/2025 17:07";"13/03/2025 11:21"
"1.1233703";"29/01/2025";"#178";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 16:30";"26/02/2025 16:30";"13/03/2025 11:19"
