"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Código (Amostragem Biológica - Organismo à Organismo)";"Amostragem Biológica - Organismo à Organismo > ID - Amostra";"Amostragem Biológica - Organismo à Organismo > ID - Indivíduo";"Amostragem Biológica - Organismo à Organismo > Espécie amostrada (Código)";"Amostragem Biológica - Organismo à Organismo > Espécie amostrada (Rótulo)";"Amostragem Biológica - Organismo à Organismo > Sexo";"Amostragem Biológica - Organismo à Organismo > Estágio de maturação - Macho";"Amostragem Biológica - Organismo à Organismo > Estágio de maturação - Fêmea";"Amostragem Biológica - Organismo à Organismo > Comprimento total - CT (cm)";"Amostragem Biológica - Organismo à Organismo > Comprimento padrão - CP (cm)";"Amostragem Biológica - Organismo à Organismo > Peso total - PT (g)";"Amostragem Biológica - Organismo à Organismo > Peso eviscerado - PEvis (g)";"Amostragem Biológica - Organismo à Organismo > Peso do fígado - PFig (g)";"Amostragem Biológica - Organismo à Organismo > Peso do estômago - PEst (g)";"Amostragem Biológica - Organismo à Organismo > Peso da gônoda - PGon (g)";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento das gônadas para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento do estômago para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento de músculo para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento de otólitos para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Selecione qual dos otólitos foi reservado para amostragem posterior"
"1.1227179";"1.1227179.19";"96";"762";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"15,1";"11,6";"28,00";"25,89";"0,228";"0,091";"";"";"";"";"";""
"1.1227179";"1.1227179.20";"96";"763";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,3";"9,8";"20,93";"19,31";"0,133";"0,09";"";"";"";"";"";""
"1.1227179";"1.1227179.21";"96";"764";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"14,3";"10,8";"24,34";"22,63";"0,123";"0,065";"";"";"";"";"";""
"1.1227179";"1.1227179.22";"96";"765";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,5";"10,3";"19,43";"18,06";"0,088";"0,095";"";"";"";"";"";""
"1.1227179";"1.1227179.23";"96";"766";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,4";"10,1";"18,02";"16,79";"0,093";"0,095";"";"";"";"";"";""
"1.1227179";"1.1227179.24";"96";"767";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"15,2";"11,6";"27,26";"25,32";"0,176";"0,025";"";"";"";"";"";""
"1.1227179";"1.1227179.25";"96";"768";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"8,9";"6,3";"5,09";"4,49";"0,018";"0,012";"";"";"";"";"";""
"1.1227179";"1.1227179.26";"96";"769";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"14,8";"11,4";"26,92";"25,04";"0,239";"0,155";"";"";"";"";"";""
"1.1227179";"1.1227179.27";"96";"770";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"A - Imaturo";"13,8";"10,7";"20,7";"19,28";"0,124";"0,158";"";"";"";"";"";""
"1.1227179";"1.1227179.28";"96";"771";"1.1110147";"Micropogonias furnieri";"Macho (M)";"A - Imaturo";"";"14,1";"10,6";"23,07";"21,05";"0,16";"0,063";"0,07";"Sim";"";"";"";""
"1.1227179";"1.1227179.29";"96";"772";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,1";"9,2";"13,48";"12,43";"0,066";"0,028";"";"";"";"";"";""
"1.1227084";"1.1227084.0";"95";"741";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,3";"10,00";"22,11";"20,13";"0,141";"0,287";"";"";"";"";"";""
"1.1227084";"1.1227084.1";"95";"742";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,2";"10,3";"19,00";"";"0,134";"0,18";"";"";"";"";"";""
"1.1227076";"1.1227076.0";"94";"735";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"19,7";"14,7";"53,14";"47,73";"0,357";"2,63";"0,166";"";"";"";"";""
"1.1227076";"1.1227076.1";"94";"736";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"15,1";"11,1";"31,69";"28,37";"0,282";"0,983";"";"";"";"";"";""
"1.1227076";"1.1227076.2";"94";"737";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"15,9";"12,2";"33,83";"31,09";"0,376";"0,32";"";"";"";"";"";""
"1.1227076";"1.1227076.3";"94";"738";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"17,7";"13,6";"50,74";"46,79";"0,53";"0,299";"";"";"";"";"";""
"1.1227076";"1.1227076.4";"94";"739";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"19,9";"15,6";"86,6";"78,2";"1,048";"0,524";"1,492";"";"";"";"";""
"1.1227076";"1.1227076.5";"94";"740";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"14,2";"10,8";"25,58";"23,57";"0,298";"0,257";"";"";"";"";"";""
"1.1226955";"1.1226955.0";"93";"721";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"18,2";"14,00";"47,42";"41,43";"0,115";"3,98";"";"";"";"";"";""
"1.1226955";"1.1226955.1";"93";"722";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"16,5";"12,6";"36,86";"34,54";"0,29";"1,024";"";"";"";"";"";""
"1.1226955";"1.1226955.2";"93";"723";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"17,8";"13,7";"41,19";"39,19";"0,198";"0,41";"";"";"";"";"";""
"1.1226955";"1.1226955.3";"93";"724";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"24,5";"19,00";"118,53";"111,66";"0,837";"1,509";"0,692";"";"";"";"";""
"1.1226955";"1.1226955.4";"93";"725";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"21,5";"16,5";"80,68";"79,69";"0,779";"1,306";"";"";"";"";"";""
"1.1226955";"1.1226955.5";"93";"726";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"21,6";"16,2";"72,96";"68,67";"0,586";"1,015";"0,413";"";"";"";"";""
"1.1226955";"1.1226955.6";"93";"727";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"17,6";"14,00";"43,09";"41,23";"0,199";"0,58";"";"";"";"";"";""
"1.1226955";"1.1226955.7";"93";"728";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"17,5";"13,5";"44,17";"39,49";"0,311";"3,517";"";"";"";"";"";""
"1.1226955";"1.1226955.8";"93";"729";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"20,5";"16,00";"66,61";"63,00";"0,344";"1,644";"0,16";"";"";"";"";""
"1.1226955";"1.1226955.9";"93";"730";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"18,7";"14,5";"54,36";"50,4";"0,387";"1,615";"";"";"";"";"";""
"1.1226955";"1.1226955.10";"93";"731";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"33,3";"25,6";"330,42";"296,16";"7,331";"6,019";"0,094";"";"";"";"";""
"1.1226955";"1.1226955.11";"93";"732";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"33,00";"25,8";"324,87";"286,49";"6,374";"8,046";"";"";"";"";"";""
"1.1226955";"1.1226955.12";"93";"733";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"31,7";"25,5";"315,16";"201,75";"7,036";"6,354";"";"";"";"";"";""
"1.1226955";"1.1226955.13";"93";"734";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"28,5";"23,00";"226,16";"209,84";"1,905";"1,35";"1,151";"";"";"";"";""
"1.1226668";"1.1226668.0";"91";"705";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"41,9";"33,5";"724,00";"";"";"";"32,00";"";"";"";"";""
"1.1226668";"1.1226668.1";"91";"706";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"42,3";"33,7";"734,00";"";"";"";"6,00";"";"";"";"";""
"1.1226668";"1.1226668.2";"91";"707";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"35,5";"29,5";"406,00";"";"";"";"16,00";"";"";"";"";""
"1.1226668";"1.1226668.3";"91";"708";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"C - Maturo / Desovante";"43,2";"34,3";"860,00";"";"";"";"36,00";"";"";"";"";""
"1.1226668";"1.1226668.4";"91";"709";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"42,4";"34,5";"736,00";"";"";"";"50,00";"";"";"";"";""
"1.1226668";"1.1226668.5";"91";"710";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"42,7";"34,6";"822,00";"";"";"";"14,00";"";"";"";"";""
"1.1226668";"1.1226668.6";"91";"711";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"C - Maturo / Desovante";"42,5";"33,2";"790,00";"705,00";"7,377";"5,043";"27,591";"Sim";"";"";"";""
"1.1226668";"1.1226668.7";"91";"712";"1.1110147";"Micropogonias furnieri";"Macho (M)";"C - Maturo";"";"43,00";"33,6";"755,00";"715,00";"6,442";"3,51";"28,117";"";"";"";"";""
"1.1226668";"1.1226668.8";"91";"713";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,1";"25,8";"365,00";"345,00";"3,478";"2,431";"6,698";"";"";"";"";""
"1.1226668";"1.1226668.9";"91";"714";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"42,1";"33,3";"765,00";"705,00";"7,34";"4,133";"12,693";"";"";"";"";""
"1.1226668";"1.1226668.10";"91";"715";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"39,00";"31,00";"585,00";"518,14";"5,438";"3,02";"18,901";"";"";"";"";""
"1.1226668";"1.1226668.11";"91";"716";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"C - Maturo / Desovante";"56,2";"45,3";"2045,00";"1755,00";"21,29";"10,77";"103,842";"Sim";"";"";"";""
"1.1226668";"1.1226668.12";"91";"717";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"C - Maturo / Desovante";"44,00";"35,2";"880,00";"775,00";"9,836";"2,818";"36,735";"Sim";"";"";"";""
"1.1226668";"1.1226668.13";"91";"718";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"46,00";"35,5";"765,00";"710,00";"2,162";"4,637";"29,392";"Sim";"";"";"";""
"1.1226668";"1.1226668.14";"91";"719";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"39,8";"30,5";"471,61";"444,04";"4,868";"3,519";"13,033";"Sim";"";"";"";""
"1.1226668";"1.1226668.15";"91";"720";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"38,00";"30,00";"505,00";"483,42";"6,546";"3,969";"29,134";"Sim";"";"";"";""
"1.1226517";"1.1226517.0";"90";"696";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"40,5";"31,6";"545,00";"500,00";"8,005";"8,091";"0,959";"";"";"";"";""
"1.1226517";"1.1226517.1";"90";"697";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"33,6";"27,00";"335,45";"305,32";"6,774";"6,221";"0,341";"";"";"";"";""
"1.1226517";"1.1226517.2";"90";"698";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"28,00";"21,7";"209,7";"176,14";"4,447";"9,114";"0,049";"";"";"";"";""
"1.1226517";"1.1226517.3";"90";"699";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"31,7";"25,00";"265,00";"236,7";"2,13";"4,792";"";"";"";"";"";""
"1.1226517";"1.1226517.4";"90";"700";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"25,5";"19,00";"170,00";"196,28";"2,697";"5,347";"";"";"";"";"";""
"1.1226517";"1.1226517.5";"90";"701";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"25,1";"19,3";"150,00";"125,7";"1,174";"5,393";"";"";"";"";"";""
"1.1226504";"1.1226504.0";"89";"693";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"55,5";"42,9";"1620,00";"1390,00";"";"13,028";"110,806";"Sim";"";"";"";""
"1.1226504";"1.1226504.1";"89";"694";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"C - Maturo";"";"45,5";"34,2";"850,00";"740,00";"";"1,434";"71,979";"";"";"";"";""
"1.1226504";"1.1226504.2";"89";"695";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"45,1";"35,1";"815,00";"405,00";"6,178";"6,178";"39,237";"Sim";"";"";"";""
"1.1226504";"1.1226504.3";"89";"702";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"C - Maturo / Desovante";"37,3";"32,00";"580,1";"516,79";"12,477";"4,835";"36,365";"Sim";"";"";"";""
"1.1226504";"1.1226504.4";"89";"703";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"34,2";"29,00";"414,55";"373,16";"8,554";"5,321";"21,044";"";"";"";"";""
"1.1226504";"1.1226504.5";"89";"704";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"32,8";"27,9";"381,09";"347,00";"5,55";"5,04";"13,703";"";"";"";"";""
"1.1226379";"1.1226379.0";"88";"688";"1.1092731";"Mugil liza";"Fêmea (F)";"";"D - Desovado";"55,6";"42,8";"1345,00";"1255,00";"13,872";"19,009";"6,075";"";"";"";"";""
"1.1226379";"1.1226379.1";"88";"689";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"44,9";"35,00";"785,00";"725,00";"14,189";"10,659";"3,24";"";"";"";"";""
"1.1226379";"1.1226379.2";"88";"690";"1.1092731";"Mugil liza";"Macho (M)";"D - Flácido";"";"56,3";"43,4";"1310,00";"1210,00";"16,229";"11,448";"13,29";"";"";"";"";""
"1.1226379";"1.1226379.3";"88";"691";"1.1092731";"Mugil liza";"Macho (M)";"D - Flácido";"";"50,9";"39,4";"1100,00";"1020,00";"13,696";"9,449";"1,828";"";"";"";"";""
"1.1226379";"1.1226379.4";"88";"692";"1.1092731";"Mugil liza";"Macho (M)";"D - Flácido";"";"51,6";"39,00";"1100,00";"605,00";"14,012";"11,517";"2,004";"";"";"";"";""
"1.1226373";"1.1226373.0";"87";"687";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"21,2";"17,5";"101,79";"91,12";"1,431";"1,939";"0,057";"";"";"";"";""
"1.1226368";"1.1226368.0";"86";"684";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,2";"26,7";"335,36";"303,5";"2,5";"15,832";"2,03";"";"";"";"";""
"1.1226368";"1.1226368.1";"86";"685";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"40,9";"31,2";"665,00";"610,00";"4,723";"6,315";"34,209";"";"";"";"";""
"1.1226368";"1.1226368.2";"86";"286";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"42,7";"32,3";"710,00";"665,00";"4,901";"6,106";"20,405";"";"";"";"";""
"1.1226343";"1.1226343.0";"85";"683";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"24,1";"19,00";"130,39";"115,44";"1,802";"3,293";"0,076";"";"";"";"";""
"1.1226340";"1.1226340.0";"84";"682";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"27,7";"21,5";"217,97";"190,56";"6,75";"3,778";"";"";"";"";"";""
"1.1226332";"1.1226332.0";"83";"668";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"20,00";"15,7";"67,76";"60,67";"0,367";"0,639";"0,713";"";"";"";"";""
"1.1226332";"1.1226332.1";"83";"669";"1.1110167";"Pomatomus saltatrix";"";"";"";"23,00";"18,00";"88,2";"84,85";"0,749";"1,253";"";"";"";"";"";""
"1.1226332";"1.1226332.2";"83";"670";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"22,00";"16,5";"99,52";"92,79";"2,04";"1,392";"0,492";"";"";"";"";""
"1.1226332";"1.1226332.3";"83";"671";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"27,3";"21,3";"168,71";"160,8";"1,591";"2,019";"0,954";"";"";"";"";""
"1.1226332";"1.1226332.4";"83";"672";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"24,00";"19,5";"132,19";"123,72";"0,931";"4,916";"";"";"";"";"";""
"1.1226332";"1.1226332.5";"83";"673";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"27,1";"21,4";"161,78";"149,17";"4,269";"4,352";"0,735";"";"";"";"";""
"1.1226332";"1.1226332.6";"83";"674";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"23,00";"17,5";"93,97";"89,32";"0,788";"1,148";"0,297";"";"";"";"";""
"1.1226332";"1.1226332.7";"83";"675";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"20,00";"15,5";"59,79";"56,54";"0,337";"0,732";"0,099";"";"";"";"";""
"1.1226332";"1.1226332.8";"83";"676";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"23,00";"18,5";"96,29";"90,59";"1,276";"1,456";"0,433";"";"";"";"";""
"1.1226332";"1.1226332.9";"83";"677";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"27,3";"21,3";"201,37";"176,23";"2,7";"16,538";"0,716";"";"";"";"";""
"1.1226332";"1.1226332.10";"83";"678";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"24,05";"18,9";"112,17";"105,88";"1,124";"1,803";"0,206";"";"";"";"";""
"1.1226332";"1.1226332.11";"83";"679";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"26,04";"20,8";"140,27";"133,35";"1,275";"1,952";"0,092";"";"";"";"";""
"1.1226332";"1.1226332.12";"83";"680";"1.1092731";"Mugil liza";"Fêmea (F)";"";"C - Maturo / Desovante";"41,4";"33,00";"695,00";"579,42";"11,89";"8,9";"67,23";"Sim";"";"";"";""
"1.1226332";"1.1226332.13";"83";"681";"1.1092731";"Mugil liza";"Fêmea (F)";"";"C - Maturo / Desovante";"41,5";"33,00";"705,00";"590,00";"12,961";"8,52";"83,069";"Sim";"";"";"";""
"1.1226204";"1.1226204.0";"82";"667";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"65,00";"53,4";"3180,2";"";"25,015";"16,479";"79,228";"";"";"";"";""
"1.1226020";"1.1226020.0";"81";"646";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"43,4";"34,00";"800,00";"705,00";"6,407";"17,423";"36,851";"";"";"";"";""
"1.1226020";"1.1226020.1";"81";"659";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"44,7";"35,9";"740,00";"670,00";"10,681";"22,475";"17,209";"";"";"";"";""
"1.1226020";"1.1226020.2";"81";"660";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"43,6";"33,3";"790,00";"730,00";"9,082";"5,812";"36,322";"";"";"";"";""
"1.1226020";"1.1226020.3";"81";"661";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"41,3";"32,7";"645,00";"605,00";"9,181";"19,695";"9,375";"";"";"";"";""
"1.1226020";"1.1226020.4";"81";"1488";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"31,5";"24,8";"328,45";"194,86";"";"";"";"";"";"";"";""
"1.1226020";"1.1226020.5";"81";"1491";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"25,6";"19,2";"168,1";"152,88";"";"";"";"";"";"";"";""
"1.1226020";"1.1226020.6";"81";"1492";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"22,7";"17,1";"108,49";"103,15";"";"";"";"";"";"";"";""
"1.1226020";"1.1226020.7";"81";"1494";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"27,4";"20,9";"209,2";"288,78";"1,117";"4,819";"0,119";"Sim";"";"";"";""
"1.1226013";"1.1226013.0";"80";"645";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"24,9";"18,6";"110,1";"104,81";"6,07";"1,345";"0,047";"";"";"";"";""
"1.1226013";"1.1226013.1";"80";"647";"1.1110167";"Pomatomus saltatrix";"Indeterminado (I)";"";"";"25,00";"19,1";"105,72";"100,08";"0,865";"1,386";"0,065";"";"";"";"";""
"1.1226013";"1.1226013.2";"80";"648";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"31,6";"25,3";"288,94";"182,82";"2,925";"2,067";"11,324";"Sim";"";"";"";""
"1.1226013";"1.1226013.3";"80";"649";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"30,2";"24,2";"290,42";"252,66";"3,699";"3,329";"11,667";"";"";"";"";""
"1.1226013";"1.1226013.4";"80";"650";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"C - Maturo / Desovante";"30,00";"24,6";"320,17";"262,65";"5,13";"2,118";"28,914";"Sim";"";"";"";""
"1.1226013";"1.1226013.5";"80";"651";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"27,5";"22,00";"202,18";"175,07";"2,258";"0,936";"11,05";"";"";"";"";""
"1.1226013";"1.1226013.6";"80";"652";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"41,5";"31,8";"741,23";"664,2";"8,583";"5,022";"59,542";"";"";"";"";""
"1.1226013";"1.1226013.7";"80";"653";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"47,00";"36,4";"1000,00";"920,2";"23,106";"0,093";"36,998";"Sim";"";"";"";""
"1.1226013";"1.1226013.8";"80";"654";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"44,00";"34,5";"770,2";"710,5";"14,846";"9,727";"14,846";"Sim";"";"";"";""
"1.1226013";"1.1226013.9";"80";"655";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"43,2";"33,4";"720,00";"675,2";"8,332";"10,288";"11,228";"Sim";"";"";"";""
"1.1226013";"1.1226013.10";"80";"656";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"43,00";"33,2";"675,00";"620,00";"5,533";"4,525";"21,281";"";"";"";"";""
"1.1226013";"1.1226013.11";"80";"657";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"42,8";"31,8";"625,00";"590,00";"3,946";"5,671";"16,573";"";"";"";"";""
"1.1226013";"1.1226013.12";"80";"658";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"";"19,4";"134,34";"112,48";"1,242";"1,69";"0,554";"";"";"";"";""
"1.1224959";"1.1224959.0";"79";"640";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"30,00";"23,5";"278,11";"190,59";"4,425";"9,234";"0,01";"";"";"";"";""
"1.1224959";"1.1224959.1";"79";"641";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"31,3";"24,5";"298,54";"272,42";"3,692";"5,749";"0,105";"";"";"";"";""
"1.1224959";"1.1224959.2";"79";"642";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"31,2";"24,5";"255,78";"234,95";"1,901";"5,016";"0,01";"";"";"";"";""
"1.1224959";"1.1224959.3";"79";"643";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"27,9";"22,6";"228,11";"198,6";"2,577";"6,347";"0,01";"";"";"";"";""
"1.1224959";"1.1224959.4";"79";"644";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"28,6";"22,8";"248,65";"217,3";"3,509";"7,755";"0,01";"";"";"";"";""
"1.1224852";"1.1224852.0";"77";"617";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"45,6";"35,5";"795,00";"710,00";"17,572";"7,138";"35,084";"Sim";"";"";"";""
"1.1224852";"1.1224852.1";"77";"618";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"44,7";"35,4";"850,00";"745,00";"16,266";"6,696";"78,119";"";"";"";"";""
"1.1224852";"1.1224852.2";"77";"619";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"42,5";"33,4";"715,00";"680,00";"8,61";"5,177";"29,89";"";"";"";"";""
"1.1224852";"1.1224852.3";"77";"620";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"44,7";"34,9";"925,00";"780,00";"13,642";"7,212";"49,047";"";"";"";"";""
"1.1224852";"1.1224852.4";"77";"621";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"37,5";"28,5";"512,88";"480,00";"6,07";"4,44";"15,144";"";"";"";"";""
"1.1224852";"1.1224852.5";"77";"622";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"42,4";"32,6";"725,00";"620,00";"1,342";"45,776";"13,367";"Sim";"";"";"";""
"1.1224852";"1.1224852.6";"77";"623";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"43,00";"33,6";"775,00";"700,00";"12,706";"4,684";"11,309";"Sim";"";"";"";""
"1.1224852";"1.1224852.7";"77";"624";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"42,00";"33,7";"735,00";"730,00";"16,521";"5,245";"18,618";"Sim";"";"";"";""
